inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	7.7935923339e-24	-7.88083403913e-24	-3.71423482082e-24	0.999908455496	-6.98450629724e-23	5.46068451256e-25	9.25812207077e-24	0.99990847796	33893615.2624	-637.349834969	-189.848894266	-637.132209594	11.3503118025	138.102392912	-189.784065063	138.102396722	11.3528004165	33899820.90143043	-637.2488596502891	-189.8188207748214	-637.2488632019667	11.348513572879714	138.0805164554052	-189.8188129467058	138.08051716267695	11.351002047620907	33899809.5721	0.0002499687552074404	0.0	0.0	0.0	-9.154869445402416e-05	0.0	0.0	0.0	-9.152622839741695e-05	0.000227670811458
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-3.38691686749e-23	-4.11716225201e-23	5.97831863026e-23	0.99981687947	1.99264901507e-22	-8.9568150703e-24	-3.1384395663e-23	0.999816924406	67812778.5407	-1273.97934913	-380.200333368	-1273.10951255	10.1357589444	276.533510227	-379.940757197	276.533521396	10.1311353871	67837618.13927466	-1273.5758384442315	-380.0799286418733	-1273.575848392799	10.13254861995853	276.4459354969392	-380.07992825139434	276.4459342377524	10.127926982281336	67837608.0498	0.0004998750416509929	0.0	0.0	0.0	-0.00018313729861142792	0.0	0.0	0.0	-0.00018309235438241666	0.000455326579505
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	1.54773247427e-24	-9.35748067951e-23	-4.21991359373e-24	0.999725271895	1.35943579381e-22	7.17966922302e-24	-9.1028641472e-23	0.999725339312	101757492.022	-1910.07182107	-570.975948767	-1908.11597498	-10.5733296608	415.361691022	-570.391329248	415.361721104	-10.5728394341	101813419.49110918	-1909.1647133080517	-570.7048263941656	-1909.1647046128444	-10.56830830542522	415.16446056509966	-570.7048250192968	415.16446263598147	-10.56781902418403	101813430.12	0.0007497188905459742	0.0	0.0	0.0	-0.00027476584967896787	0.0	0.0	0.0	-0.00027469841415460257	0.000682967349418
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	2.08669234214e-23	-1.32840036497e-22	2.24243494184e-24	0.999633607503	1.07310528607e-22	4.05706241063e-23	-9.42792027854e-23	0.999633709139	135695891.968	-1410.65198743	1.67073183732	-1408.73431193	-372.17028031	-1564.59349175	1.6746418586	-1564.59023214	-377.743811085	135795368.75019318	-1409.7591265695887	1.6696745307659648	-1409.7670355761145	-371.9347181163065	-1563.6033538258375	1.6758695153919891	-1563.5999373023592	-377.5047595518413	135795743.519	0.0009995003330834232	0.0	0.0	0.0	-0.0003664596351304691	0.0	0.0	0.0	-0.00036635796188337155	0.000910606089619
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-5.22642437814e-23	-2.37723953229e-22	-5.64744638524e-23	0.999541271376	8.55297483238e-22	-1.70218260427e-23	-3.80826199201e-23	0.999541477456	168953170.323	5266.39075878	-2191.9313275	5257.4093918	-3817.89872105	-26241.1750923	-2188.21249046	-26241.1701563	-3885.40026625	169108249.49257335	5262.228839348537	-2190.1995411793637	5262.235076225031	-3814.881514845161	-26220.442641656075	-2190.221012556518	-26220.43230356931	-3882.330515411153	169112104.485	0.0012492194004318981	0.0	0.0	0.0	-0.0004588338721637924	0.0	0.0	0.0	-0.00045862769760691215	0.0011386334631
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	1.2233952792e-22	-3.17231519732e-21	-8.91674850938e-23	0.999431071481	2.72659667907e-20	-4.14107294159e-23	2.99607402806e-22	0.99943133574	183867159.6	-9804.85749172	875.668432749	-9784.51327193	-3412.40910903	-3245.86389212	873.89799107	-3245.8840236	-2865.82797788	184076504.1477567	-9795.74272215619	874.8546271502605	-9795.653567512898	-3409.2368729508403	-3242.8473368699024	874.8929799528655	-3242.866592196132	-2863.164610369878	184079641.223	0.0014988761237359487	0.0	0.0	0.0	-0.0005690904202394112	0.0	0.0	0.0	-0.0005688260108442862	0.00137855623464
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	3.33247158108e-22	-5.82485077723e-21	4.27548979113e-23	0.999308517086	-9.86021003654e-20	2.90340395006e-22	6.24779856419e-22	0.999309160481	186227226.391	-5427.89838082	-962.796357661	-5414.64150626	-274.031273332	1907.5586153	-960.451118056	1907.56272649	-263.595229475	186484919.59423077	-5422.161996338523	-961.7794615126382	-5422.134053623428	-273.74166792056934	1905.5438704443116	-961.7801488854599	1905.5467504245032	-263.3168227574768	186485188.397	0.001748470534116803	0.0	0.0	0.0	-0.0006917220985781289	0.0	0.0	0.0	-0.0006910782585810603	0.00162658051761
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-2.43921345475e-22	1.99556288803e-20	2.51101014698e-22	0.999185557591	-2.66867077173e-20	-1.98730142166e-22	-3.06315320586e-22	0.999186954729	188336031.191	-3106.95801668	-2175.47324318	-3098.29327605	-120.367183502	3973.56063027	-2169.36871752	3973.57723898	-133.04641392	188642920.3044194	-3103.2796104845497	-2172.9006836849026	-3103.3418717466775	-120.22467774841542	3968.8617808767513	-2172.9036525942356	3968.8728203636256	-132.88908272022928	188643047.101	0.001998002662673058	0.0	0.0	0.0	-0.000814774247406286	0.0	0.0	0.0	-0.0008133759715677546	0.00187471868859
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	-1.22926793844e-22	6.87221652909e-21	-2.30214704231e-22	0.999062511705	-3.6818222655e-20	1.482721248e-22	7.08273399499e-24	0.999064812352	190386270.336	-2179.82663739	-2832.84390465	-2172.95671217	-40.5840872327	4456.09768214	-2823.84190242	4456.12160811	-56.7261379956	190743303.50186166	-2176.9689124914194	-2829.1365973863867	-2177.031678357726	-40.5308820123482	4450.266043030888	-2829.1374797351846	4450.279689559153	-56.651901210762475	190743352.349	0.00224747254047937	0.0	0.0	0.0	-0.0009379280119927562	0.0	0.0	0.0	-0.0009356252087909897	0.00212283318359
