inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.19344081027e-05	-2.5167540171e-07	-6.43586417429e-07	-2.5167540171e-07	1.63075348483e-05	-7.29023926496e-08	-6.43586417429e-07	-7.29023926496e-08	1.70296565269e-05	1.19344081027e-05	-2.5167540171e-07	-6.43586417429e-07	-2.5167540171e-07	1.63075348483e-05	-7.29023926496e-08	-6.43586417429e-07	-7.29023926496e-08	1.70296565269e-05	4.92465258756e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-1.51887162571e-21	3.34303416051e-19	-6.45394748247e-22	0.999931103574	-9.32063236816e-20	-2.18840970809e-22	-1.36798224975e-21	0.999926912243	56877740.031	-2264842.25776	51111.8630402	-2264120.18813	29.7961534277	328216.143043	51095.3531728	328214.767224	21.1775383897	56885816.630750924	-2264441.6916769235	51102.60905525615	-2264441.691630975	29.79088359999855	328156.7183406827	51102.60867761583	328156.7182789733	21.17370412090702	57023742.5818	0.0002499687552074404	0.0	0.0	0.0	-6.889879946760551e-05	0.0	0.0	0.0	-7.309042803980513e-05	0.000213989264038
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	5.64550768067e-23	4.31493855153e-19	-2.40929278103e-21	0.999862181136	4.92127796716e-19	-1.64294871759e-21	-1.75098626041e-21	0.999853795376	113799960.888	-4531283.032	102273.478718	-4528394.33514	-265.249136146	656486.492004	102207.414224	656480.982877	-304.655932023	113832289.63825731	-4529680.783014351	102236.45764668513	-4529680.77960259	-265.1553447945584	656248.8562694736	102236.4497170099	656248.8530405974	-304.5456523187472	114108423.805	0.0004998750416509929	0.0	0.0	0.0	-0.00013782836189274488	0.0	0.0	0.0	-0.00014621531293806828	0.000427958647569
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-7.92108154581e-21	-9.85281969476e-20	5.34823964804e-22	0.999790576787	3.79700251291e-19	-9.83163611626e-21	1.07861766938e-21	0.999775787135	166563588.936	-6582317.36403	223573.343369	-6576006.91326	174.572368854	978434.447914	223355.606905	978419.907752	-2260.50896196	166635840.42384666	-6578859.390698081	223452.5851855723	-6578859.4351503365	174.4806585090562	977905.9682448555	223452.49347559363	977905.9018538776	-2259.287998173553	167035066.946	0.0007497188905459742	0.0	0.0	0.0	-0.00020944514510317895	0.0	0.0	0.0	-0.00022423800446217515	0.000644430240911
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	5.14092750702e-22	-1.15538620823e-18	-9.72144014903e-22	0.999697649836	-4.71123096024e-19	-7.25463246603e-21	-1.44168791974e-20	0.999659969929	187744498.541	-7547555.84299	903762.461906	-7537735.94694	2854.96991453	1539340.40197	902552.521441	1539282.43445	2647.49420214	187865160.0926195	-7542580.531356438	903132.664612956	-7542580.376055761	2853.0879324254984	1538267.6948604467	903132.5831125882	1538267.747051487	2645.6492652764564	188341452.344	0.0009995003330834232	0.0	0.0	0.0	-0.00030239588102592166	0.0	0.0	0.0	-0.00034008789433255315	0.00088076369125
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-1.88884624925e-20	-6.01874850441e-19	2.03879341479e-21	0.999593248677	7.66651671229e-21	-8.3028253985e-21	2.84493779039e-20	0.999532284643	196751957.064	-8079794.93889	1807739.02903	-8066425.21867	3372.7873792	1950439.81093	1804637.37614	1950320.95594	1523.66055902	196924123.1846117	-8073483.896537734	1806216.857405988	-8073483.675204952	3370.1529306581356	1948797.4808774511	1806216.5086721347	1948797.5808733623	1522.3775901675704	197471190.193	0.0012492194004318981	0.0	0.0	0.0	-0.0004068340687583825	0.0	0.0	0.0	-0.0004678247699454024	0.00112491714672
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-2.58866172698e-21	-7.5253867751e-19	-4.06331796401e-21	0.999483841067	3.56328521577e-19	2.29749415137e-21	2.05010510967e-20	0.999404628388	203138883.043	-8492187.0847	2458891.62489	-8475091.39842	-621.954392329	2234962.07943	2453747.48378	2234784.77313	-811.588733208	203364866.8089178	-8484519.324823152	2456476.7440876593	-8484519.59376115	-621.3928176854869	2232767.1201382023	2456477.1783056827	2232766.9427588736	-810.7916708115196	203976910.711	0.0014988761237359487	0.0	0.0	0.0	-0.0005162921888777826	0.0	0.0	0.0	-0.0005955489160559546	0.00137062850176
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-4.63758810428e-21	-1.90324203534e-18	-1.30694536783e-22	0.999371805939	-4.90043094777e-19	-1.60944531784e-20	1.40499728969e-20	0.999277311117	208303278.872	-8844776.09392	2886708.61827	-8823778.5164	-5453.97847699	2425057.13196	2879583.65419	2424827.59845	-4085.23779371	208584958.0389416	-8835710.24513033	2883477.086469994	-8835710.515719626	-5448.388177851904	2422342.3968498604	2883477.5858133673	2422342.162966373	-4080.664566000973	209252068.678	0.001748470534116803	0.0	0.0	0.0	-0.0006283914575621527	0.0	0.0	0.0	-0.0007229501484937017	0.0016170160766
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-9.39387662646e-21	6.2626671357e-20	4.5201284573e-21	0.999258255321	7.16327657123e-19	4.40639112307e-21	-7.93012883376e-21	0.99915026453	212773787.94	-9146634.30807	3171159.34609	-9121606.85783	-3180.67089393	2563610.06898	3162140.78908	2563333.0137	-2371.06217641	213112818.4378527	-9136140.855908254	3167178.924831502	-9136141.086619021	-3177.0218776095076	2560392.2401346443	3167179.2958264444	2560392.2366395076	-2368.0860325893373	213818666.715	0.001998002662673058	0.0	0.0	0.0	-0.0007420199076917854	0.0	0.0	0.0	-0.0008500966998317428	0.00186375214481
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	3.18836767109e-20	-5.63206599572e-20	1.55716750313e-21	0.99914368691	3.58806547897e-19	3.04050913659e-21	-1.41881960698e-20	0.999023454301	216801428.021	-9403451.95806	3371330.87988	-9374307.85634	-1942.28874425	2676598.04633	3360477.89596	2676276.115	-1824.70146597	217199342.11580262	-9391512.93081886	3366645.316901743	-9391513.320617178	-1939.8227308826545	2672878.0410382007	3366645.6667735097	2672878.199682912	-1822.1654486107	217936707.818	0.00224747254047937	0.0	0.0	0.0	-0.0008566799354916288	0.0	0.0	0.0	-0.0009770228304034536	0.00211069316699
